Job Title,Job Description
Data Scientist,"It's fun to work in a company where people truly BELIEVE in what they are doing!

We're committed to bringing passion and customer focus to the business.


Fractal Analytics is Leading Fortune 500 companies leverage Big Data, Analytics and technology to drive smarter, faster and more accurate decisions in every aspect of their business.

Fortune 500 companies recognize analytics is a competitive advantage to understand customers and make better decisions. We deliver insight, innovation and impact to them through predictive analytics and visual story-telling.

The Artificial Intelligence and Machine Learning (AIML) group at Fractal Analytics is actively involved in helping Fortune 500 companies by enabling them to discover how they can leverage their data using advanced and sophisticated AI/ML algorithms for which we are looking for Data Scientists with the capability to work on independent statistical and machine learning research/ projects. If you are a problem solver with a curiosity for exploring new techniques and technologies in AIML space, then we would like to talk with you."
Data Scientist,"Job Description

Develop strategies to solve problems in logical yet creative ways
Helping & Managing teams of data scientist and produce project deliverables



Familiarity with data visualization tools such as Tableau, MS PowerBI etc

Please share resume on vidhami.mishra@capgemini.com

#Data Scientist #NLP #Machine Learning #Deep Learning #ML"
Data Scientist,"Job Description

Role: Data Scientist-I

Location: New Delhi


The Analytics team is central to Chegg – we use data and analyses to support every business line and the marketing and product organizations. We are a team composed of analysts, data scientists, economists, mathematicians, statisticians and engineers. Our group is part of the larger data organization at Chegg that focuses on enabling data and insights at scale. We use a world-class set of instrumentation, analysis and data science technologies to transform our data into insights and then into knowledge. While the analytics group is centralized, we heavily partner with our stakeholders to ensure insights delivered are directly usable for decision making and ultimately adds value to Chegg. In short, we are a diverse team who absolutely love working with data to help Chegg deliver on our Student First mission!


We are looking for a highly motivated and a self-starter Data Scientist to help understand and build predictability around business performance; and support scoping, launch and measuring impact of product initiatives. This person should be able to provide meaningful insights into business performance

The incumbent will work closely with analysts and business community on a day to day basis. We are looking for someone with exceptional data mining, analytical and visualization skills and excellent communication skills along with the ability to work in an on/offshore model. The candidate should have an eye for detail and be able to own creation and maintenance of ETL workflows that feed into key dashboards while being able to derive key actionable insights






Why do we exist?

Students are working harder than ever before to stabilize their future. Our recent research study called State of the Student shows that nearly 3 out of 4 students are working to support themselves through college and 1 in 3 students feel pressure to spend more than they can afford. We founded our business on provided affordable textbook rental options to address these issues. Since then, we’ve expanded our offerings to supplement many facets of higher educational learning through Chegg Study, Chegg Math, Chegg Writing, Chegg Internships, Thinkful Online Learning, and more to support students beyond their college experience. These offerings lower financial concerns for students by modernizing their learning experience. We exist so students everywhere have a smarter, faster, more affordable way to student.


Life at Chegg: http://youtu.be/Fwf90zgaOLA

Certified Great Place to Work!: http://reviews.greatplacetowork.com/chegg

Chegg Corporate Career Page: https://jobs.chegg.com/

Chegg India: http://www.cheggindia.com/

Chegg Israel: http://www.chegg.com/about/working-at-chegg/israel/

Thinkful (a Chegg Online Learning Service): https://www.thinkful.com/about/#careers


http://www.chegg.com/about/working-at-chegg/benefits/

http://techblog.chegg.com/"
Data Scientist,"Mandatory experience of model development in credit risk (acquisition, behavior and collections scorecard) for retail credit products
Know-how of credit risk management and usage of risk policies
Knowledge of Bureau data and other alternate data sources, strong foundation of machine learning and statistics for building credit scorecards

(ref:iimjobs.com)"
Data Scientist,"Exp: 1-4 years; SKILLS Python/R SQL Liner/Logistic Regression ModellingRisk ForestRLinear Regression Credit RiskDecision NetworksSupport JOB DESCRIPTION Responsibilities As part of the Data Science team, you will be part of the effort to transform Jai Kisan into an AI driven fintech company. We are looking for someone who has a proven track record of solving a variety of data science problems ( minimum 1 year of relevant work experience and a project portfolio on Github). As a member of the data science team, you will be involved in strategizing new projects that add value to the business and implement them end-to-end. These projects will involve analyzing data, making statistical inferences to gain deep insights and building predictive modelsto generate significant business value and aid more informed decision making. Day to day tasks will involve Identifying valuable data sources and automate collection processes Undertaking pre-processing of structured and unstructured data Analyzing large amounts of information to discover trends and patterns Building predictive models and machine-learning algorithms Presenting information using data visualization techniques Proposing solutions and strategies to business challenges Collaborating with other teams in the organization Skills Graduate or post graduate with experience in solving data science problems Proficient with Python/R and SQL Statistical and ML modelling techniques Linear/logistic regression (including advanced predictor selection techniques), classification (decision trees, random forests), Support VectorMachines (SVMs), neural networks, etc Algorithm Development Machine learning, Deep learning, and advanced Algorithmic solution development Ability to think strategically about Customer experience, business, product, and technical challenges Familiarity with tech stacks and ability to building scalable and production ready models Good written and verbal communication skills"
Data Scientist,"Description

We are looking for 2018 and later graduates
Above position is expected to implement Data Transformation and Data Science integration using python based pipelines deployed using cloud services"
Data Scientist,"About WinZO Games

WinZO is India’s largest social gaming platform aiming at building an astronomical tech strong gaming ecosystem in India. WinZO in a short span of time has emerged as the leanest Series C funded gaming startup in the Indian startup ecosystem. WinZO has so far raised over $100MM and handles more than 4+ Bn micro transactions monthly, a number which is fast growing. WinZO with a data driven DNA is working towards becoming the one-stop-shop for online gaming users spread across every household in Bharat. With a vision of becoming a household name for Bharat, catering to their entertainment needs through interactive engagements, (Co-Founder, WinZO, Zostel & ZO Rooms) and (Co-Founder, WinZO, Ex-Chief of Staff & Growth- ZO Rooms, Zostel, Ex-Times Group), are aggressively building the platform to not just capture market opportunities but also explore and maximize potential of social interactions as consumption drivers. Both of them are putting together WinZO piece by piece using tech and data to create a transparent and unique gaming experience for its users.

WinZO, which hosts 100+ games in 12+ languages, has 80% users consuming the app in vernacular languages. WinZO has always yearned to mentor, guide and onboard games to be culturally relevant for Bharat. It also provides opportunities for housewives to translate and earn which empowers them economically. A 150+ members strong team with stellar professionals coming from global tech giants and companies such as Google, Amazon, Flipkart, McKinsey etc., WinZO is funded and backed by global gaming and entertainment investment funds such as .

WinZO is continually working towards revolutionizing the gaming ecosystem by creating a complete entertainment package through a slew of interactive features. Speaking of the larger picture the platform is driving unique initiatives that are constantly attempting to nurture and groom developers.


Integrity, Excellence Perseverance, Data Orientation, Agility


As a part of Data Science team at WinZo, you will be working on building models to solve business use cases, generating insights from data. We have problems ranging from Recommender systems to Computer vision to social network analysis. You will be working in a fast-paced environment which will require you to take initiatives with complete ownership, manage multiple projects, and drive execution with stakeholders.




We’re looking for people with a hustler mindset, who are curious, eager to learn new things, with a passion for innovation, and work to be a little better every single day. This is not solely based on whether a candidate has previously done similar work or not. We’re looking for someone dynamic with below qualities in generous quantities to perform well in this role –




At our core, we’re a creative company. Ideas are where we live, and we love building magical products. It’s not just about features, it’s also about how they make people feel. So, we build at the intersection of the technical and the romantic. And it all starts with people, the right team that cares deeply about our mission, values and our users. We value diversity. We are an equal opportunity employer: we do not discriminate based on race, color, religion, gender, ethnicity, or disability status.

Download our app for a better understanding - https://www.winzogames.com/"
Data Scientist,"We are seeking a highly motivated and experienced Data Scientist to join our team. The successful candidate will be responsible for collecting, analysing, and interpreting data from various sources, providing insights and recommendations, and contributing to the development of data-driven solutions. You will be working with Video, Speech and Text data."
Data Scientist,"Company Description

Axiado is an AI-enhanced security processor company redefining the control and management of every digital system. The company was founded in 2017, and currently has 60 employees. At Axiado, developing great technology takes more than talent: it takes amazing people who understand collaboration, respect each other, and go the extra mile to achieve exceptional results. It takes people who have the passion and desire to disrupt the status quo, deliver innovation, and change the world. If you have this type of passion, we invite you to apply for this job.


What you will be doing:-

Qualifications


Additional Information

Axiado is committed to attracting, developing, and retaining the highest caliber talent in a diverse and multifaceted environment. We are headquartered in the heart of Silicon Valley, with access to the world's leading research, technology and talent.

We are building an exceptional team to secure every node on the internet. For us, solving real-world problems takes precedence over purely theoretical problems. As a result, we prefer individuals with persistence, intelligence and high curiosity over pedigree alone. Working hard and smart, continuous learning and mutual support are all part of who we are.

Axiado is an Equal Opportunity Employer. Axiado does not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law. All employment is decided on the basis of qualifications, merit, and business need."
Data Scientist,"Job Description

Job title: Engineer – Machine Learning

Department:Student Services


We are looking for an Engineer - Machine Learning to help us build our AI/NLP based products.

Your responsibilities include transforming datasets into useful features using ML/NLP techniques to solve problems pertinent to education. To succeed in this role, you should possess outstanding skills in statistical analysis, machine learning methods and text representation techniques.

Your ultimate goal is to develop efficient self-learning applications."
Data Scientist,"Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!


Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences. We’re passionate about empowering people to craft alluring and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to building exceptional employee experiences where everyone is respected and has access to equal opportunity.

We realise that new ideas can come from everywhere in the organisation, and we know the next big idea could be yours!



To be successful in this role, we need someone who has:



At Adobe, you will be immersed in an exceptional work environment that is recognized throughout the world on . You will also be surrounded by colleagues who are committed to helping each other grow through our unique approach where ongoing feedback flows freely.

If you’re looking to make an impact, Adobe's the place for you. Discover what our employees are saying about their career experiences on the and explore the meaningful we offer.

Adobe is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of gender, race or color , ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, or veteran status."
Data Scientist,"Job Description

Are You Ready to Make It Happen at Mondelēz International?

Join our Mission to Lead the Future of Snacking. Make It With Pride.

You will help our business react to changing business conditions with excellent data analysis. You will define the requirements, perform the analysis and identify patterns in large amounts of data.


You will:



A desire to drive your future and accelerate your career and the following experience and knowledge:






Graduate




Within Country Relocation support available and for candidates voluntarily moving internationally some minimal support is offered through our Volunteer International Transfer Policy


At Mondelēz International, our purpose is to empower people to snack right by offering the right snack, for the right moment, made the right way. That means delivering a broad range of delicious, high-quality snacks that nourish life's moments, made with sustainable ingredients and packaging that consumers can feel good about.

We have a rich portfolio of strong brands globally and locally including many household names such as , and biscuits; , and chocolate; candy and gum. We are proud to hold the top position globally in biscuits, chocolate and candy and the second top position in gum.

Our 80,000 makers and bakers are located in more than 80 countries and we sell our products in over 150 countries around the world. Our people are energized for growth and critical to us living our purpose and values. We are a diverse community that can make things happen—and happen fast.

Mondelēz International is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation or preference, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.


Regular

Data Science

Analytics & Data Science"
